id,city,status,gate,claim,scheduled_time,actual_time,flight_codes,arrival_airport_code
708312,San Jose,Arrived,20,5,2026-03-13 07:55:00,2026-03-13 07:40:00,WN4455,SJC
708324,Sacramento,Arrived,18,5,2026-03-13 08:00:00,2026-03-13 07:53:00,WN4115,SMF
-1,Provo,Arrived,4,2,2026-03-13 08:05:00,2026-03-13 07:43:00,MX602,PVU
708330,Oakland,Arrived,17,5,2026-03-13 08:10:00,2026-03-13 07:56:00,WN4097,OAK
708331,Las Vegas,Arrived,19,5,2026-03-13 08:15:00,2026-03-13 08:22:00,WN3280,LAS
708339,Phoenix,Arrived,22B,N/A,2026-03-13 08:25:00,2026-03-13 08:05:00,WN2566,PHX
-1,Dallas-Ft. Worth,Arrived,7,1,2026-03-13 08:33:00,2026-03-13 08:09:00,AA1686,DFW
-1,Phoenix,Arrived,15,6,2026-03-13 08:50:00,2026-03-13 08:38:00,F91719,PHX
-1,Des Moines,Arrived,16,6,2026-03-13 08:55:00,2026-03-13 08:17:00,G4457,DSM
-1,Phoenix,Arrived,6,1,2026-03-13 08:58:00,2026-03-13 08:45:00,AA543,PHX
-1,San Francisco,Arrived,8,4,2026-03-13 09:03:00,2026-03-13 08:48:00,"UA5937, AC4246",SFO
-1,Salt Lake City,Arrived,4,2,2026-03-13 09:09:00,2026-03-13 08:53:00,DL1198,SLC
708391,Oakland,Arrived,20,6,2026-03-13 09:25:00,2026-03-13 09:13:00,WN1199,OAK
-1,San Francisco,Arrived,12,3,2026-03-13 09:29:00,2026-03-13 09:05:00,AS3440,SFO
708400,San Jose,Arrived,19,5,2026-03-13 09:35:00,2026-03-13 09:21:00,WN1933,SJC
708401,Phoenix,Arrived,18,5,2026-03-13 09:35:00,2026-03-13 09:08:00,WN643,PHX
-1,Boise,Arrived,13,3,2026-03-13 09:43:00,2026-03-13 09:38:00,AS335,BOI
-1,Denver,Arrived,9,4,2026-03-13 09:48:00,2026-03-13 09:20:00,"UA2666, AC5491",DEN
